cpu_usage,cpu_core_count,cpu_thread_count,disk_utilization,memory_usage_bytes,memory_utilization,percent_disk_reads,percent_disk_writes,percent_disk_read_bytes,percent_disk_write_bytes,average_cpu_utilization_by_threads
2.1,8,16,8.2,5588504576,9.1,0.0,100.0,0.0,100.0,5.625000000000001
2.0,8,16,8.2,5591011328,9.1,0.0,100.0,0.0,100.0,3.8625
2.0,8,16,8.2,5587607552,9.1,0.0,100.0,0.0,100.0,15.968749999999998
16.7,8,16,8.2,5585125376,9.1,0.0,100.0,0.0,100.0,20.275
15.0,8,16,8.2,5594009600,9.1,0.0,100.0,0.0,100.0,15.374999999999998
19.5,8,16,8.2,5599113216,9.1,0.0,100.0,0.0,100.0,18.699999999999996
17.0,8,16,8.2,5610467328,9.2,8.51063829787234,91.48936170212765,12.578616352201259,87.42138364779875,21.137500000000003
20.3,8,16,8.2,9365696512,14.8,0.0,100.0,0.0,100.0,21.4375
23.0,8,16,8.2,9352269824,14.8,0.0,100.0,0.0,100.0,16.35625
15.3,8,16,8.2,9350049792,14.8,0.0,100.0,0.0,100.0,18.075000000000003
16.9,8,16,8.2,9393393664,14.8,0.0,100.0,0.0,100.0,12.312499999999998
23.8,8,16,8.2,9424322560,14.9,0.0,100.0,0.0,100.0,20.468749999999996
21.1,8,16,8.2,9419120640,14.9,0.0,100.0,0.0,100.0,17.88125
21.1,8,16,8.2,9425477632,14.9,0.0,100.0,0.0,100.0,22.050000000000004
22.1,8,16,8.2,10041098240,15.8,0.0,100.0,0.0,100.0,18.43125
20.0,8,16,8.2,10075291648,15.8,0.0,100.0,0.0,100.0,20.681250000000002
20.2,8,16,8.2,10089009152,15.9,0.0,100.0,0.0,100.0,18.83125
24.4,8,16,8.2,10096816128,15.9,0.0,100.0,0.0,100.0,18.849999999999994
19.6,8,16,8.2,10087751680,15.9,0.0,100.0,0.0,100.0,21.01875
18.2,8,16,8.2,10091134976,15.9,0.0,100.0,0.0,100.0,21.056250000000002
